example,domain,task,n,p,n_classes,pca_99,k,family,representation,probe,score,fit_seconds
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1536,all,all features,linear,0.7113,0.0
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1536,all,all features,knn,0.66,0.0
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1536,all,all features,svm,0.7712,0.0
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:vote,linear,0.7125,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:vote,knn,0.6613,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:vote,svm,0.7712,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:rf,linear,0.7175,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:rf,knn,0.67,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:rf,svm,0.7725,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:xg,linear,0.7013,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:xg,knn,0.66,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:xg,svm,0.7712,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:mi,linear,0.6987,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:mi,knn,0.6538,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:mi,svm,0.7825,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:f_test,linear,0.68,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:f_test,knn,0.6562,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:f_test,svm,0.7675,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:l1,linear,0.7125,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:l1,knn,0.6575,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,select,select:l1,svm,0.7712,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,dr,dr:PCA,linear,0.6925,2.4
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,dr,dr:PCA,knn,0.5763,2.4
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,dr,dr:PCA,svm,0.7425,2.4
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,dr,dr:RandProj,linear,0.7087,0.03
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,dr,dr:RandProj,knn,0.6388,0.03
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1206,dr,dr:RandProj,svm,0.7662,0.03
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:vote,linear,0.7163,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:vote,knn,0.6713,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:vote,svm,0.7712,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:rf,linear,0.7225,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:rf,knn,0.6825,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:rf,svm,0.7738,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:xg,linear,0.7113,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:xg,knn,0.6763,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:xg,svm,0.7625,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:mi,linear,0.7312,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:mi,knn,0.67,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:mi,svm,0.77,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:f_test,linear,0.7013,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:f_test,knn,0.6625,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:f_test,svm,0.7662,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:l1,linear,0.72,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:l1,knn,0.6675,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,select,select:l1,svm,0.7738,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,dr,dr:PCA,linear,0.73,1.33
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,dr,dr:PCA,knn,0.6088,1.33
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,dr,dr:PCA,svm,0.7562,1.33
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,dr,dr:RandProj,linear,0.73,0.04
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,dr,dr:RandProj,knn,0.6212,0.04
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,603,dr,dr:RandProj,svm,0.7362,0.04
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:vote,linear,0.7388,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:vote,knn,0.6975,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:vote,svm,0.7662,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:rf,linear,0.74,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:rf,knn,0.685,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:rf,svm,0.7662,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:xg,linear,0.7362,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:xg,knn,0.6763,189.68
